,Time,Realized P&L,Unrealized P&L,Value,Daily Return
0,2022-02-03,382.29390800000067,403.1623279999985,100785.45623599998,-0.0008469309492096914
0,2022-02-04,382.29390800000067,338.7657559999989,100721.05966399999,-0.0006389470703908541
0,2022-02-07,382.29390800000067,697.2828409999984,101079.57674899999,0.0035595046973889385
0,2022-02-08,382.29390800000067,715.843211999998,101098.13711999998,0.00018362137631510413
0,2022-02-09,382.29390800000067,466.4408800000001,100848.73478799999,-0.002466933012860226
0,2022-02-10,382.29390800000067,473.72013799999877,100856.01404599998,7.217996353942544e-05
0,2022-02-11,382.29390800000067,414.255205999998,100796.549114,-0.0005896022419928904
0,2022-02-14,382.29390800000067,796.5760489999993,101178.86995699999,0.003792995359073182
0,2022-02-15,382.29390800000067,413.54717999999957,100795.84108799999,-0.003785660673644458
0,2022-02-16,382.29390800000067,322.1527849999984,100704.44669299998,-0.0009067278373144208
0,2022-02-17,382.29390800000067,297.9943299999977,100680.28823799998,-0.0002398946202807181
0,2022-02-18,382.29390800000067,6.359079999998357,100388.65298799999,-0.002896646951492532
0,2022-02-22,382.29390800000067,-354.62424900000224,100027.66965899998,-0.003595857880901739
0,2022-02-23,382.29390800000067,-210.01386600000296,100172.28004199998,0.0014457038086860524
0,2022-02-24,382.29390800000067,322.9576079999988,100705.25151599999,0.005320548496815111
0,2022-02-25,382.29390800000067,407.4790689999991,100789.77297699999,0.0008392954660022662
0,2022-02-28,382.29390800000067,600.8767399999979,100983.17064799998,0.0019188223694494456
0,2022-03-01,382.29390800000067,1009.7641919999987,101392.0581,0.004049065298467217
0,2022-03-02,382.29390800000067,2136.941034999998,102519.23494299999,0.011117013147995207
0,2022-03-03,382.29390800000067,2719.4113599999982,103101.70526799999,0.005681571124909893
0,2022-03-04,382.29390800000067,2259.439346999996,102641.73325499998,-0.004461342436619901
0,2022-03-07,382.29390800000067,1723.6741779999993,102105.96808599998,-0.0052197595657213535
0,2022-03-08,382.29390800000067,1985.2093129999976,102367.50322099999,0.002561408896096374
0,2022-03-09,382.29390800000067,2065.7666759999975,102448.06058399999,0.000786942735392164
0,2022-03-10,382.29390800000067,1594.6464159999996,101976.940324,-0.004598625462643205
0,2022-03-11,382.29390800000067,1250.199620999998,101632.49352899998,-0.0033776929755456307
0,2022-03-14,382.29390800000067,1676.6406819999993,102058.93458999999,0.004195912608188872
0,2022-03-15,382.29390800000067,1710.4716119999975,102092.76551999999,0.00033148425599292206
0,2022-03-16,382.29390800000067,1907.3590519999998,102289.65295999998,0.0019285151009198693
0,2022-03-17,382.29390800000067,2144.053421999997,102526.34732999999,0.002313962000561
0,2022-03-18,382.29390800000067,2201.297453999996,102583.59136199998,0.0005583348426111124
0,2022-03-21,382.29390800000067,2589.0276839999988,102971.321592,0.003779651549064819
0,2022-03-22,382.29390800000067,2649.667720999998,103031.96162899998,0.0005889021920128618
0,2022-03-23,382.29390800000067,2944.8481239999983,103327.14203199999,0.0028649401441360363
0,2022-03-24,382.29390800000067,3034.4960869999995,103416.78999499998,0.0008676129159967687
0,2022-03-25,382.29390800000067,3088.0972749999983,103470.39118299999,0.0005183025696561658
0,2022-03-28,1054.724541,2293.5303989999993,103348.25493999998,-0.001180398001820521
0,2022-03-29,1054.724541,2289.525674999999,103344.25021599999,-3.8749797975045834e-05
0,2022-03-30,1054.724541,2489.749011,103544.47355199998,0.0019374405018325485
0,2022-03-31,1054.724541,2511.7731839999997,103566.497725,0.00021270254456363618
0,2022-04-01,1054.724541,2503.7643389999994,103558.48887999999,-7.733046087229682e-05
0,2022-04-04,1054.724541,2545.8117299999994,103600.53627099999,0.00040602553643596646
0,2022-04-05,1054.724541,2762.0525549999984,103816.77709599999,0.002087255846189391
0,2022-04-06,1054.724541,2992.309512,104047.03405299998,0.002217916635834982
0,2022-04-07,1054.724541,3350.7079889999986,104405.43252999999,0.0034445813882349303
0,2022-04-08,1054.724541,3146.4807330000003,104201.20527399999,-0.001956097983132395
0,2022-04-11,1054.724541,2766.0572789999987,103820.78181999999,-0.0036508546422248118
0,2022-04-12,1054.724541,2683.965462,103738.69000299998,-0.0007907069814050812
0,2022-04-13,1054.724541,2679.9607379999998,103734.68527899998,-3.860395769295642e-05
0,2022-04-14,1054.724541,2579.849471999998,103634.57401299999,-0.0009650703207971182
0,2022-04-18,1054.724541,2573.842788,103628.56732899998,-5.796023245344496e-05
0,2022-04-19,1054.724541,2555.8223339999986,103610.54687499999,-0.00017389465534910234
0,2022-04-20,1054.724541,2651.9296799999993,103706.65422099999,0.0009275826534913687
0,2022-04-21,1054.724541,2415.666642,103470.39118299999,-0.0022781859059547477
0,2022-04-22,1054.724541,2353.597238999999,103408.32177999998,-0.0005998759866503649
0,2022-04-25,1054.724541,2159.381391000001,103214.10593199999,-0.0018781452465033185
0,2022-04-26,1054.724541,2131.3503329999985,103186.07487399998,-0.00027158165782567855
0,2022-04-27,1054.724541,2113.3300799999997,103168.05462099999,-0.00017463841920530054
0,2022-04-28,1054.724541,1806.9881909999986,102861.71273199999,-0.002969348313539361
0,2022-04-29,1054.724541,1758.9349199999997,102813.65946099999,-0.00046716382338681206
0,2022-05-02,1054.724541,1973.1735839999983,103027.89812499998,0.0020837568191146437
0,2022-05-03,1054.724541,2169.3921960000007,103224.11673699999,0.001904519218298976
0,2022-05-04,1054.724541,1784.9630129999987,102839.68755399999,-0.0037242186724587797
0,2022-05-05,1054.724541,1784.9630129999987,102839.68755399999,0.0
0,2022-05-06,1054.724541,1983.1843889999982,103037.90892999999,0.0019274793682732404
0,2022-05-09,1054.724541,2053.262637,103107.98717799998,0.0006801210227160102
0,2022-05-10,1054.724541,1881.0711629999987,102935.79570399999,-0.001670011011879517
0,2022-05-11,1054.724541,1901.1707609999994,102955.89530199999,0.00019526344419388062
0,2022-05-12,1054.724541,1734.3403589999998,102789.06489999998,-0.0016204065003819755
0,2022-05-13,1054.724541,1696.150760999999,102750.87530199999,-0.00037153366495891926
0,2022-05-16,1054.724541,1300.1805599999989,102354.90510099998,-0.0038536917552885936
0,2022-05-17,1054.724541,630.8509619999986,101685.57550299999,-0.006539301632291362
0,2022-05-18,1054.724541,650.9505599999993,101705.67510099999,0.00019766420065555617
0,2022-05-19,1054.724541,783.6105599999992,101838.33510099999,0.0013043519928289543
0,2022-05-20,1054.724541,1097.1707609999994,102151.89530199999,0.0030789996781567697
0,2022-05-23,1054.724541,1356.4601579999999,102411.18469899999,0.0025382729927177763
0,2022-05-24,1054.724541,1286.1105599999992,102340.83510099999,-0.0006869327623419987
0,2022-05-25,1054.724541,1483.0903589999998,102537.81489999998,0.0019247429318472373
0,2022-05-26,1054.724541,1647.9103589999995,102702.63489999999,0.0016074069860055795
0,2022-05-27,1054.724541,1649.9207609999994,102704.64530199999,1.957497976519671e-05
0,2022-05-31,1054.724541,1324.300158,102379.02469899999,-0.0031704564291374087
